c_d_dep,departamento,c_d_mun,municipio,grupo_de_cultivo,subgrupo_de_cultivo,cultivo,desagregaci_n_regional_y,a_o,periodo,rea_sembrada_ha,rea_cosechada_ha,producci_n_t,rendimiento_t_ha,estado_fisico_produccion,nombre_cientifico,ciclo_de_cultivo,c_digo_dane_departamento,c_digo_dane_municipio,grupo_cultivo,subgrupo,desagregaci_n_cultivo,rea_sembrada,rea_cosechada,producci_n,rendimiento,ciclo_del_cultivo,estado_f_sico_del_cultivo,c_digo_del_cultivo,nombre_cient_fico_del_cultivo
63,QUINDIO,63594,QUIMBAYA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2009,2009,3502,2727,3466,1.27,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63548,PIJAO,OTROS PERMANENTES,CAFE,CAFE,CAFE,2009,2009,2547,2278,2250,0.99,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63272,FILANDIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2009,2009,2221,1837,2356,1.28,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63190,CIRCASIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2009,2009,2170,1801,2069,1.15,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63001,ARMENIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2009,2009,2040,1643,2130,1.30,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63212,CORDOBA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2009,2009,1471,1226,1149,0.94,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63111,BUENAVISTA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2009,2009,1103,975,1135,1.16,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63470,MONTENEGRO,OTROS PERMANENTES,CAFE,CAFE,CAFE,2009,2009,1079,866,1190,1.37,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63302,GENOVA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2009,2009,1011,854,735,0.86,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63690,SALENTO,OTROS PERMANENTES,CAFE,CAFE,CAFE,2009,2009,657,598,522,0.87,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63401,LA TEBAIDA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2009,2009,468,349,553,1.58,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63130,CALARCA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2010,2010,4509,3624,3825,1.06,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63594,QUIMBAYA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2010,2010,3437,2690,3472,1.29,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63548,PIJAO,OTROS PERMANENTES,CAFE,CAFE,CAFE,2010,2010,2500,2173,2270,1.04,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63272,FILANDIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2010,2010,2180,1745,2077,1.19,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63190,CIRCASIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2010,2010,2130,1752,2176,1.24,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63001,ARMENIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2010,2010,2002,1541,1988,1.29,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63212,CORDOBA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2010,2010,1444,1168,1190,1.02,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63111,BUENAVISTA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2010,2010,1083,940,1202,1.28,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63470,MONTENEGRO,OTROS PERMANENTES,CAFE,CAFE,CAFE,2010,2010,1059,834,1192,1.43,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63302,GENOVA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2010,2010,993,787,732,0.93,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63690,SALENTO,OTROS PERMANENTES,CAFE,CAFE,CAFE,2010,2010,644,566,448,0.79,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63401,LA TEBAIDA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2010,2010,459,339,493,1.45,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63130,CALARCA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2011,2011,5081,3367,4022,1.19,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63302,GENOVA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2011,2011,4870,2798,2160,0.77,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63594,QUIMBAYA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2011,2011,3775,2575,3089,1.20,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63548,PIJAO,OTROS PERMANENTES,CAFE,CAFE,CAFE,2011,2011,3385,2018,1751,0.87,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63190,CIRCASIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2011,2011,2707,2072,2483,1.20,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63272,FILANDIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2011,2011,2502,1641,1471,0.90,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63001,ARMENIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2011,2011,2453,1764,2116,1.20,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63212,CORDOBA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2011,2011,2154,1320,1174,0.89,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63470,MONTENEGRO,OTROS PERMANENTES,CAFE,CAFE,CAFE,2011,2011,1608,1060,1056,1.00,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63111,BUENAVISTA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2011,2011,1244,781,777,1.00,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63690,SALENTO,OTROS PERMANENTES,CAFE,CAFE,CAFE,2011,2011,655,340,271,0.80,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63401,LA TEBAIDA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2011,2011,647,404,444,1.10,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63130,CALARCA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2012,2012,4978,3322,3594,1.08,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63302,GENOVA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2012,2012,4784,3780,2384,0.63,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63594,QUIMBAYA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2012,2012,3623,2304,2301,1.00,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63548,PIJAO,OTROS PERMANENTES,CAFE,CAFE,CAFE,2012,2012,3270,2630,1972,0.75,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63190,CIRCASIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2012,2012,2550,1789,1428,0.80,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63272,FILANDIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2012,2012,2430,1657,1318,0.80,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63001,ARMENIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2012,2012,2333,1477,1473,1.00,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63212,CORDOBA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2012,2012,2103,1640,1398,0.85,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63470,MONTENEGRO,OTROS PERMANENTES,CAFE,CAFE,CAFE,2012,2012,1580,903,809,0.90,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63111,BUENAVISTA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2012,2012,1244,806,632,0.78,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63401,LA TEBAIDA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2012,2012,653,339,373,1.10,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63690,SALENTO,OTROS PERMANENTES,CAFE,CAFE,CAFE,2012,2012,633,463,347,0.75,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63130,CALARCA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2013,2013,4668,3216,3630,1.13,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63302,GENOVA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2013,2013,4524,3632,2705,0.74,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63594,QUIMBAYA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2013,2013,3472,2387,2540,1.06,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63548,PIJAO,OTROS PERMANENTES,CAFE,CAFE,CAFE,2013,2013,3265,2635,2440,0.93,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
63,QUINDIO,63190,CIRCASIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2013,2013,2469,1803,1919,1.06,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,,,,,,,,,,,,,
