departamento,year,month,ndvi_mean,ndvi_min,ndvi_max,ndvi_std,evi_mean,evi_min,evi_max,evi_std
Narino,2012,1,0.49178370765949264,0.4311052961276592,0.5524621191913262,0.08581223253157494,0.31639091462021735,0.2827062405668532,0.3500755886735815,0.047637322890384706
Narino,2012,2,0.5037801730353212,0.47313992401293,0.5344204220577123,0.043331855721954596,0.3425565189849434,0.32170028206148354,0.3634127559084032,0.029495173117223415
Narino,2012,3,0.4809449089637689,0.47923411197876803,0.4826557059487698,0.002419432298655235,0.3311147229446164,0.32042405858106227,0.34180538730817056,0.015118882533717008
Narino,2012,4,0.5482118161015381,0.5326844557605649,0.5637391764425113,0.02195900358205844,0.35541767902524135,0.3312553802323723,0.3795799778181104,0.034170650650986505
Narino,2012,5,0.5149825765996005,0.5149825765996005,0.5149825765996005,,0.3544701487739549,0.3544701487739549,0.3544701487739549,
Narino,2012,6,0.5075887861165156,0.42932962564658356,0.5858479465864477,0.11067516611651033,0.3381155685290421,0.29909229721788283,0.3771388398402014,0.055187239536406384
Narino,2012,7,0.5292868476078976,0.47054240204699516,0.5880312931687999,0.08307719162631604,0.35522607959246333,0.3115293739570168,0.3989227852279099,0.061796473740673395
Narino,2012,8,0.47057446280408877,0.4614949365300715,0.47965398907810597,0.012840389196638002,0.32363561634858695,0.31604580709494007,0.3312254256022338,0.010733611182332183
Narino,2012,9,0.40185688712941026,0.3885098109013941,0.4152039633574264,0.018875616219687988,0.2906647741260139,0.28651775189470896,0.2948117963573188,0.005864775082974153
Narino,2012,10,0.4037530831165141,0.3867856593922978,0.42072050684073037,0.023995560749317673,0.2683820566169247,0.25088202471525606,0.28588208851859337,0.024748782457301638
Narino,2012,11,0.42454943873140255,0.38134572035688147,0.46775315710592363,0.06109928447019541,0.28241117944923066,0.2596914248898661,0.3051309340085953,0.03213058503164143
Narino,2012,12,0.39519283825937457,0.39273342142966616,0.397652255089083,0.0034781406361022674,0.2715210755391553,0.26702511732685813,0.2760170337514524,0.006358245079693319
Narino,2013,1,0.36789436333827846,0.3656951748064186,0.3700935518701383,0.003110122247971579,0.2569164375783505,0.25652278377382215,0.2573100913828788,0.0005567105492437269
Narino,2013,2,0.40783400419620675,0.3687863828377692,0.4468816255546442,0.055221675703511636,0.2905025154662185,0.25797382328546903,0.32303120764696797,0.04600251764827553
Narino,2013,3,0.4539448098756467,0.4227824415529297,0.48510717819836374,0.04407024391765212,0.30048954009517476,0.2877063465697405,0.31327273362060903,0.018078165654109093
Narino,2013,4,0.6143296277602409,0.6143296277602409,0.6143296277602409,,0.40884979225640744,0.40884979225640744,0.40884979225640744,
