departamento,year,rendimiento_kg_ha,spi3_mean,spi3_min,spi3_floracion,spi3_desarrollo,spi3_cosecha,n_sequia,n_exceso,spi3_mean_lag1,spi3_min_lag1,spi3_floracion_lag1,spi3_desarrollo_lag1,spi3_cosecha_lag1,n_sequia_lag1,n_exceso_lag1,tmedia_mean,tmax_mean,tmin_mean,hr_mean,anom_temp_mean,ndvi_mean,ndvi_lag1,ndvi_floracion,ndvi_desarrollo_ndvi,ndvi_cosecha,evi_anual,ndvi_floracion_lag1,precio_cop_carga,precio_lag1,precio_lag2,area_cosechada_ha,area_sembrada_ha,pct_area_cosechada
Narino,2007,1298.6037859274704,-0.1528488744252639,-0.7443845114880101,-0.3289359113540473,0.2161859595623788,-0.29215022024406595,0,0,-0.4689532282406456,-1.073226302271067,-0.46484160447957024,-0.42757045603633115,-0.5354688591678031,1.0,0.0,11.166666666666666,18.941666666666666,1.8499999999999999,82.58333333333333,-0.33769127727678033,,,0.47091948138670375,0.47367352645457084,0.4485450111330077,0.3182497148458646,0.4748092575099454,457462.5528033794,465926.49689580133,457069.8372695853,24458.5,28331.5,0.8632970368670914
Narino,2008,1221.96106789665,0.0943281503388353,-0.6959920925013254,-0.05795771684133695,0.5963368535428843,-0.2555523156415654,0,0,-0.1528488744252639,-0.7443845114880101,-0.3289359113540473,0.2161859595623788,-0.29215022024406595,0.0,0.0,11.158333333333333,19.116666666666667,2.15,83.5,-0.9415054212564878,,,0.47091948138670375,0.47367352645457084,0.4485450111330077,0.3182497148458646,0.4748092575099454,493759.39392534917,457462.5528033794,465926.49689580133,25582.0,30219.5,0.8465394860934164
Narino,2009,1039.0274681679073,-0.6581685209048235,-1.0570104327826029,-0.8430252081582481,-0.6642385153259751,-0.8686729455067116,2,0,0.0943281503388353,-0.6959920925013254,-0.05795771684133695,0.5963368535428843,-0.2555523156415654,0.0,0.0,11.558333333333332,19.516666666666666,2.216666666666667,81.33333333333333,1.0905119477516712e-05,,,0.47091948138670375,0.47367352645457084,0.4485450111330077,0.3182497148458646,0.4748092575099454,657982.4508768561,493759.39392534917,457462.5528033794,26467.2,31590.25,0.8378281273494196
Narino,2010,1045.9925125499872,-0.18176490248190658,-0.9827139301542416,-0.5528037292408244,0.2906441786742583,-0.4958027956805701,1,0,-0.6581685209048235,-1.0570104327826029,-0.8430252081582481,-0.6642385153259751,-0.8686729455067116,2.0,0.0,11.566666666666668,19.841666666666665,2.65,82.08333333333333,-0.03682328190137859,,,0.47091948138670375,0.47367352645457084,0.4485450111330077,0.3182497148458646,0.4748092575099454,754673.1574820789,657982.4508768561,493759.39392534917,23504.05,31969.4,0.7352046019005674
Narino,2011,992.1401195137029,0.04160244162914182,-0.5111201925401558,0.016583302084088147,0.20711891946807992,-0.30787567644187336,0,0,-0.18176490248190658,-0.9827139301542416,-0.5528037292408244,0.2906441786742583,-0.4958027956805701,1.0,0.0,11.174999999999999,19.208333333333332,1.9416666666666667,84.0,-0.4733492728981343,,,0.47091948138670375,0.47367352645457084,0.4485450111330077,0.3182497148458646,0.4748092575099454,976023.6138632871,754673.1574820789,657982.4508768561,24263.8,34420.8,0.7049167944963509
Narino,2012,1009.7212931995541,-0.9041166049577143,-2.359940159273373,-0.7430831070923807,-1.2329313241344375,-0.9488897973829552,4,0,0.04160244162914182,-0.5111201925401558,0.016583302084088147,0.20711891946807992,-0.30787567644187336,0.0,0.0,11.008333333333333,18.791666666666668,1.9833333333333334,82.83333333333333,-0.01910405579051853,0.4708708032891412,,0.4728742286372638,0.5056081682820256,0.40783178670243037,0.3191588612125325,0.4748092575099454,660589.2755067359,976023.6138632871,754673.1574820789,27806.4,36994.4,0.7516380857643319
Narino,2013,889.6483584876303,-0.39735552632949306,-0.8724582976334491,-0.49724745866792286,-0.1613218980721497,-0.7168759721841104,0,0,-0.9041166049577143,-2.359940159273373,-0.7430831070923807,-1.2329313241344375,-0.9488897973829552,4.0,0.0,11.225,19.0,2.3083333333333336,82.0,0.09319182657690206,0.4269337945030469,0.4708708032891412,0.4797393172402355,0.4038176668176116,0.4500199604822486,0.29719347334656887,0.4728742286372638,466373.583109319,660589.2755067359,976023.6138632871,32136.51,39292.66,0.8178756541298042
Narino,2014,961.5012942191545,-0.2249494173820242,-0.6039619165434312,-0.15965681355452307,-0.061110233764057,-0.014084013525489986,0,0,-0.39735552632949306,-0.8724582976334491,-0.49724745866792286,-0.1613218980721497,-0.7168759721841104,0.0,0.0,11.283333333333333,18.966666666666665,2.6166666666666667,81.58333333333333,0.20105544856162397,0.468278400766382,0.4269337945030469,0.4789690172375527,0.4968510078365079,0.4667067974464963,0.324163761242602,0.4797393172402355,702634.0165770609,466373.583109319,660589.2755067359,33608.32,38861.53,0.8648223577404184
Narino,2015,1093.0413879598661,-0.8949474424610214,-1.5828059747347942,-0.892771866914026,-1.2704022020657408,-1.0312057623871838,5,0,-0.2249494173820242,-0.6039619165434312,-0.15965681355452307,-0.061110233764057,-0.014084013525489986,0.0,0.0,11.475,19.025000000000002,2.6333333333333333,80.41666666666667,0.7151300406751128,0.5028599638876039,0.468278400766382,0.5311273756647847,0.5056470700760031,0.5379093782581178,0.3414001828444182,0.4789690172375527,716423.1758832565,702634.0165770609,466373.583109319,33490.93,38848.95,0.8620806997357716
Narino,2016,1130.1319083969465,-0.6022491902704085,-1.0221640070216595,-0.8892012447334152,-0.3197745272652431,-0.904610534541328,1,0,-0.8949474424610214,-1.5828059747347942,-0.892771866914026,-1.2704022020657408,-1.0312057623871838,5.0,0.0,12.208333333333334,20.316666666666666,2.733333333333333,78.08333333333333,0.5268869821397516,0.4407680356328336,0.5028599638876039,0.45703508617859917,0.4539025112670353,0.4294908770095925,0.3042307648321213,0.5311273756647847,829826.9535595105,716423.1758832565,702634.0165770609,32750.14,38751.26,0.8451374226283223
Narino,2017,1039.881978714549,0.022783942695223335,-0.6345412819538044,-0.14371010292196212,0.4057931856517618,-0.2968393509412334,0,0,-0.6022491902704085,-1.0221640070216595,-0.8892012447334152,-0.3197745272652431,-0.904610534541328,1.0,0.0,11.574414682539675,19.166666666666668,2.0,79.63636363636364,-0.12797443071446923,0.4973354578727617,0.4407680356328336,0.452245552376751,0.5237421548529112,0.41408436947601235,0.3415075801382565,0.45703508617859917,818147.6446492575,829826.9535595105,716423.1758832565,33639.55,38169.73,0.8813148534191885
Narino,2018,1065.1438730689933,1.0505968726478576,-0.34611201692795124,1.476348610627265,0.5438447304079825,1.5100952273709514,0,5,0.022783942695223335,-0.6345412819538044,-0.14371010292196212,0.4057931856517618,-0.2968393509412334,0.0,0.0,11.443669817090516,19.066666666666666,2.1,,0.015040868140837866,0.4493093085884,0.4973354578727617,0.4516742252344311,0.43297418272402827,0.46433843546321113,0.31011425904487977,0.452245552376751,741105.269937276,818147.6446492575,829826.9535595105,33465.54,37617.78,0.8896202806226206
Narino,2019,1287.4640935491857,0.9431023699748909,-0.3882467439205061,1.0428906278592471,0.37915549936358106,1.573897819325671,0,2,1.0505968726478576,-0.34611201692795124,1.476348610627265,0.5438447304079825,1.5100952273709514,0.0,5.0,11.589637559026,19.025000000000002,2.5416666666666665,,0.30289360392638187,0.4455658702360852,0.4493093085884,0.44369104852401164,0.4668454497804435,0.4179784842259527,0.3082288361055375,0.4516742252344311,787472.5838453661,741105.269937276,818147.6446492575,30167.37,36262.51,0.8319162131909787
Narino,2020,1085.2004852509258,1.0589318737572009,0.16432044591710507,0.7309174546655812,0.9717199218487613,0.5044484965614716,0,2,0.9431023699748909,-0.3882467439205061,1.0428906278592471,0.37915549936358106,1.573897819325671,0.0,2.0,11.824653309919093,19.34166666666667,2.033333333333333,77.62680854241339,0.18229140761026583,,,0.47091948138670375,0.47367352645457084,0.4485450111330077,0.3182497148458646,0.4748092575099454,1048184.1583240638,787472.5838453661,741105.269937276,31324.0,35873.0,0.8731915368104145
Narino,2021,1050.309298611409,1.3846637647602353,0.9431391098434594,1.4340411560558288,1.4848744279782429,1.424680721788716,0,6,1.0589318737572009,0.16432044591710507,0.7309174546655812,0.9717199218487613,0.5044484965614716,0.0,2.0,11.53121012189225,18.841666666666665,2.4,80.5733283115969,-0.2567654819645934,,,0.47091948138670375,0.47367352645457084,0.4485450111330077,0.3182497148458646,0.4748092575099454,1519807.6043575753,1048184.1583240638,787472.5838453661,30987.53,35588.01,0.8707294956925098
Narino,2022,906.1939740122057,1.8705839867474923,-0.23285110201804488,2.0321678575187345,1.9487074786589127,1.894924333667494,0,11,1.3846637647602353,0.9431391098434594,1.4340411560558288,1.4848744279782429,1.424680721788716,0.0,6.0,11.44838686564829,18.833333333333332,2.1416666666666666,79.11615549549016,-0.46962956581723164,,,0.47091948138670375,0.47367352645457084,0.4485450111330077,0.3182497148458646,0.4748092575099454,2151004.149332592,1519807.6043575753,1048184.1583240638,29495.25,35765.21,0.8246910894693474
Narino,2023,921.509681665162,1.4608273869702646,0.13516112560698038,1.8363791998367918,1.1819798790445493,1.8107626900156646,0,7,1.8705839867474923,-0.23285110201804488,2.0321678575187345,1.9487074786589127,1.894924333667494,0.0,11.0,11.732171925669917,19.35,2.5666666666666664,79.04090219745349,0.4657021468525227,,,0.47091948138670375,0.47367352645457084,0.4485450111330077,0.3182497148458646,0.4748092575099454,1628068.6497166164,2151004.149332592,1519807.6043575753,29630.75,35991.77,0.8232645963229928
Narino,2024,1129.8545338868657,0.971507673873321,-0.9054565723845447,0.9495136659645107,1.268913707605773,0.7805908166349838,0,3,1.4608273869702646,0.13516112560698038,1.8363791998367918,1.1819798790445493,1.8107626900156646,0.0,7.0,12.16204628942996,19.883333333333333,2.4,,0.8186298487081992,,,0.47091948138670375,0.47367352645457084,0.4485450111330077,0.3182497148458646,0.4748092575099454,1894146.4749103943,1628068.6497166164,2151004.149332592,28477.93,35447.63,0.8033803670372321
Quindio,2007,1277.446241961415,-0.04600495999181794,-0.8068188660218587,0.0939921011828497,0.30264581366084353,-0.06655437354922629,0,0,-0.3423990138176713,-0.7324300395668016,-0.4518549510132601,-0.343766616731488,-0.27294414471564615,0.0,0.0,21.883333333333336,30.083333333333332,15.5,80.0,0.0,,,0.4913698867177147,0.582779185118901,0.539917618762096,0.3957693018538591,0.4924151919506933,457462.5528033794,465926.49689580133,457069.8372695853,19904.0,23568.47,0.8445181210320398
Quindio,2008,1209.964232793419,-0.21576465349814514,-0.8538580348429948,-0.5399753823373246,0.1795149853472712,-0.4265360775041512,0,0,-0.04600495999181794,-0.8068188660218587,0.0939921011828497,0.30264581366084353,-0.06655437354922629,0.0,0.0,21.491666666666664,29.400000000000002,15.25,81.41666666666667,0.0,,,0.4913698867177147,0.582779185118901,0.539917618762096,0.3957693018538591,0.4924151919506933,493759.39392534917,457462.5528033794,465926.49689580133,19571.0,23213.16,0.8430993453713325
Quindio,2009,1154.5570018895653,-0.8582099146553753,-1.8197264487837859,-1.3564723075794674,-0.6948672187154421,-1.627723992322255,5,0,-0.21576465349814514,-0.8538580348429948,-0.5399753823373246,0.1795149853472712,-0.4265360775041512,0.0,0.0,22.25,30.974999999999998,15.366666666666667,79.0,0.0,,,0.4913698867177147,0.582779185118901,0.539917618762096,0.3957693018538591,0.4924151919506933,657982.4508768561,493759.39392534917,457462.5528033794,19052.0,22862.25,0.8333388008616824
Quindio,2010,1160.0947188721846,0.21172309150544696,-1.205427923833378,0.18387058115189653,1.10958170509863,-0.16492165821948138,1,1,-0.8582099146553753,-1.8197264487837859,-1.3564723075794674,-0.6948672187154421,-1.627723992322255,5.0,0.0,22.28333333333333,30.849999999999998,15.533333333333333,79.25,0.0,,,0.4913698867177147,0.582779185118901,0.539917618762096,0.3957693018538591,0.4924151919506933,754673.1574820789,657982.4508768561,493759.39392534917,18159.0,22440.45,0.8092083714898766
Quindio,2011,1033.7214498510427,0.41777694005279886,-0.18133221516010695,0.6825287285150132,0.18099805313414402,0.7694623016469267,0,0,0.21172309150544696,-1.205427923833378,0.18387058115189653,1.10958170509863,-0.16492165821948138,1.0,1.0,22.058333333333334,30.383333333333336,15.450000000000001,79.83333333333333,0.0,,,0.4913698867177147,0.582779185118901,0.539917618762096,0.3957693018538591,0.4924151919506933,976023.6138632871,754673.1574820789,657982.4508768561,20139.3,31079.5,0.6479930500812432
