departamento,HE_varianza,HE_rho2,rho_perdida_pago,p_valor,prima_pct,riesgo_base_pct,cv_rendimiento,cv_precio
Narino,-0.006,0.006,-0.076,0.763,9.9,44.4,0.111,0.519
Quindio,-0.026,0.099,-0.314,0.204,9.5,38.9,0.118,0.519
