departamento,modelo_loyo,r2_loyo,r2_insample,rmse_loyo,mae_loyo,rmse_holdout_d1,mae_holdout_d1,he_varianza,he_rho2,riesgo_base_pct,prima_pct,cumple_n2_r2_070,cumple_d1_rmse_186,cumple_d1_mae_149,cumple_he_060,cumple_riesgo_base_20
Narino,RidgeCV,0.2595125482623466,0.8896628908174118,220.3060226205972,170.61404612666388,149.1,110.8,-0.006,0.006,44.4,9.9,False,True,True,False,False
Quindio,GradBoost,0.29340209209031876,0.998871890324659,175.45180791596567,137.45757535274427,160.6,122.9,-0.026,0.099,38.9,9.5,False,True,True,False,False
