departamento,spi_sequia_p12,spi_exceso_p88,frecuencia_sequia_pct,frecuencia_exceso_pct,frecuencia_total_pct
Nariño,-0.978,1.375,6.0,17.8,23.8
Quindío,-1.105,1.278,11.1,15.4,26.5
