departamento,modelo,r2_loyo,rmse_loyo,mae_loyo
Narino,RidgeCV,0.2595125482623466,220.3060226205972,170.61404612666388
Quindio,GradBoost,0.29340209209031876,175.45180791596567,137.45757535274427
